City,hotel_name,hotel_url,hotel_rating,hotel_description,hotel_address
Aix en Provence,"Èrsextius, SF, Aix-en-Provence",https://www.booking.com/hotel/fr/ersextius-sf-aix-en-provence.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-23&checkout=2023-07-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=42c5691c6b3806d2&srepoch=1690124218&all_sr_blocks=852433601_371157794_2_0_0&highlighted_blocks=852433601_371157794_2_0_0&matching_block_id=852433601_371157794_2_0_0&sr_pri_blocks=852433601_371157794_2_0_0__66944&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,3","Situé à 31 km de la station de métro Joliette et à 32 km du centre commercial Les Terrasses du Port, l'Èrsextius, SF, Aix-en-Provence propose un hébergement au cœur d'Aix-en-Provence. Cet hébergement climatisé se trouve à 31 km de la gare de Marseille-Saint-Charles. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé sur place.

Cet appartement comprend une chambre, une télévision par satellite à écran plat, un lave-linge et une salle de bains pourvue d'une douche. Sa cuisine est équipée d'un micro-ondes et d'un réfrigérateur. Les serviettes et le linge de lit sont fournis.

Vous séjournerez à 32 km de la station de métro Vieux Port et du musée des civilisations de l'Europe et de la Méditerranée. L'aéroport de Marseille-Provence, le plus proche, est implanté à 27 km. 







L'établissement Èrsextius, SF, Aix-en-Provence accueille des clients Booking.com depuis le 14 mai 2022.



En voir plus","
4 Rue Frédéric Mistral, 13100 Aix-en-Provence, France
"
Aix en Provence,Studio centre historique climatisation,https://www.booking.com/hotel/fr/studio-centre-historique-renove.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-23&checkout=2023-07-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=42c5691c6b3806d2&srepoch=1690124218&all_sr_blocks=999155801_372746165_2_0_0&highlighted_blocks=999155801_372746165_2_0_0&matching_block_id=999155801_372746165_2_0_0&sr_pri_blocks=999155801_372746165_2_0_0__61250&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,"Situé dans le centre d'Aix-en-Provence, à 31 km de la gare de Marseille-Saint-Charles et de la station de métro Joliette, le Studio centre historique rénové propose une connexion Wi-Fi gratuite. Cet appartement se trouve à 33 km du musée des civilisations de l'Europe et de la Méditerranée et de la rue Saint-Ferréol.

Cet appartement climatisé comprend une chambre, une télévision à écran plat et une cuisine.

Vous séjournerez à 32 km du centre commercial Les Terrasses du Port et de la station de métro Vieux Port. L'aéroport le plus proche, celui de Marseille Provence, est situé à 27 km. 






L'établissement Studio centre historique climatisation accueille des clients Booking.com depuis le 2 mai 2023.



En voir plus","
19 Rue des Epinaux, 13100 Aix-en-Provence, France
"
Carcassonne,Le Clos de Manon,https://www.booking.com/hotel/fr/le-clos-de-manon-4.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-23&checkout=2023-07-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=e4de691ca7a300c9&srepoch=1690124218&all_sr_blocks=535136601_270844778_2_0_0&highlighted_blocks=535136601_270844778_2_0_0&matching_block_id=535136601_270844778_2_0_0&sr_pri_blocks=535136601_270844778_2_0_0__60930&from=searchresults#hotelTmpl,"7,9","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Clos de Manon ! Connectez-vous pour économiser.
 Situé à Carcassonne, en Occitanie, à proximité de la Maison des Mémoires et de la cathédrale de Carcassonne, l'établissement Le Clos de Manon propose des hébergements avec connexion Wi-Fi et parking privé gratuits.

Les logements climatisés comprennent une télévision à écran plat, une cuisine entièrement équipée avec un coin repas et une salle de bains privative pourvue d'articles de toilette gratuits. Un réfrigérateur, un micro-ondes, des plaques de cuisson, une machine à café et une bouilloire sont également fournis.

Le château de Comtal se trouve à 1,3 km. L'aéroport le plus proche, celui de Carcassonne-Salvaza, est situé à 4 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires. 




C'est le quartier préféré des voyageurs visitant Carcassonne, selon les commentaires clients indépendants.





L'établissement Le Clos de Manon accueille des clients Booking.com depuis le 9 juil. 2019.



En voir plus","
8 Rue Pierre Germain, 11000 Carcassonne, France
"
Aix en Provence,Negrecoste Hôtel & Spa,https://www.booking.com/hotel/fr/grand-negre-coste.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-23&checkout=2023-07-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=42c5691c6b3806d2&srepoch=1690124218&all_sr_blocks=2442908_363420530_2_42_0&highlighted_blocks=2442908_363420530_2_42_0&matching_block_id=2442908_363420530_2_42_0&sr_pri_blocks=2442908_363420530_2_42_0__99170&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,7","Vous pouvez bénéficier d'une réduction Genius dans l'établissement Negrecoste Hôtel & Spa ! Connectez-vous pour économiser.
 Doté d’une terrasse bien exposée, le Negrecoste Hôtel & Spa est un établissement du XVIIIe siècle situé au cœur du cours Mirabeau, à 10 minutes de marche de la gare SNCF et de la gare routière d’Aix-en-Provence. Une connexion Wi-Fi est disponible gratuitement dans tout l’hôtel.

Les chambres sont climatisées et disposent d’une télévision à écran LCD ainsi que d’un minibar payant. Certaines offrent une vue sur le cours Mirabeau. Leur salle de bains privative est pourvue d’une baignoire ou d’une douche, d’un sèche-cheveux et d’articles de toilette Nuxe gratuits.Certaines chambres offrent une vue sur le cours Mirabeau.

Une salle de réunion et une réception ouverte 24h/24 sont disponibles sur place. Sur réservation et moyennant des frais supplémentaires, vous pourrez vous détendre au spa de l’établissement, comprenant un bain à remous, un sauna et un hammam. Vous pourrez par ailleurs bénéficier de tarifs réduits pour une séance de 1 heure au spa et sur les soins qui y sont dispensés.

L’hôtel se trouve à moins de 100 mètres de plusieurs bars, restaurants et magasins. La cathédrale d’Aix-en-Provence est à seulement 5 minutes de marche. L’aéroport le plus proche, celui de Marseille Provence, est situé à 25 km. Un parking privé est disponible sur place moyennant un supplément et sur réservation. 







L'établissement Negrecoste Hôtel & Spa accueille des clients Booking.com depuis le 22 déc. 2008.



En voir plus","
33, Cours Mirabeau, 13100 Aix-en-Provence, France
"
Lyon,Appart hôtel Q7 Lodge Lyon 7,https://www.booking.com/hotel/fr/quality-suites-lyon-7-lodge.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-23&checkout=2023-07-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=4cfc691c3e3c021b&srepoch=1690124218&all_sr_blocks=54512915_198522712_2_2_0&highlighted_blocks=54512915_198522712_2_2_0&matching_block_id=54512915_198522712_2_2_0&sr_pri_blocks=54512915_198522712_2_2_0__47500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,9","Doté d’une terrasse et d’un restaurant italien accessible depuis la réception, le Appart hôtel Q7 Lodge Lyon 7 propose des hébergements à Lyon, à 550 mètres de la station de métro Place Jean Jaurès et à 6 minutes de route du stade de Gerland. Vous pourrez accéder gratuitement à une salle de sport, et une connexion Wi-Fi haut débit gratuite est à votre disposition.

Toutes les suites sont climatisées et disposent d’une télévision par satellite à écran plat, d’une armoire ainsi que d’une salle de bains privative pourvue d’un sèche-serviettes. Leur kitchenette est équipée d’un micro-ondes et d’une bouilloire électrique.

Un petit-déjeuner continental est servi tous les matins sur place. Vous trouverez des restaurants et des supermarchés à moins de 500 mètres.

Le Appart hôtel Q7 Lodge Lyon 7 est à 10 minutes de route de la salle de concert Halle Tony-Garnier, du musée des Confluences et de l’autoroute A7. La gare de Lyon-Perrache est, quant à elle, située à 2 km. Une bagagerie et un parking privé sont disponibles moyennant des frais supplémentaires. 






En voir plus","
7 rue Félix Brun, 7e arr., 69007 Lyon, France
"
Aix en Provence,UN MOMENT SUSPENDU,https://www.booking.com/hotel/fr/un-moment-suspendu.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-23&checkout=2023-07-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=42c5691c6b3806d2&srepoch=1690124218&all_sr_blocks=999804902_373836348_4_0_0&highlighted_blocks=999804902_373836348_4_0_0&matching_block_id=999804902_373836348_4_0_0&sr_pri_blocks=999804902_373836348_4_0_0__99750&from=searchresults#hotelTmpl,"8,1","L'UN MOMENT SUSPENDU propose des hébergements climatisés dans le centre d'Aix-en-Provence, à 31 km de la gare de Marseille Saint-Charles, à 31 km de la station de métro Joliette et à 32 km du centre commercial Les Terrasses du Port. Une connexion Wi-Fi est accessible gratuitement dans l'ensemble de ses locaux.

La cuisine est équipée d'un réfrigérateur, d'un micro-ondes, de plaques de cuisson et d'une machine à café.

Vous séjournerez à 32 km de la station de métro Vieux Port et du musée des civilisations de l'Europe et de la Méditerranée. L'aéroport de Marseille-Provence, le plus proche, est implanté à 27 km. 






L'établissement UN MOMENT SUSPENDU accueille des clients Booking.com depuis le 2 mai 2023.



En voir plus","
12 Rue du Cancel, 13100 Aix-en-Provence, France
"
Aix en Provence,Renaissance Aix-en-Provence Hotel,https://www.booking.com/hotel/fr/renaissance-aix-en-provence.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-23&checkout=2023-07-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=42c5691c6b3806d2&srepoch=1690124218&all_sr_blocks=57689901_274565472_2_2_0&highlighted_blocks=57689901_274565472_2_2_0&matching_block_id=57689901_274565472_2_2_0&sr_pri_blocks=57689901_274565472_2_2_0__169320&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,3","Bénéficiez d'un traitement VIP grâce au service exclusif de l'établissement Renaissance Aix-en-Provence Hotel



 Situé à moins de 10 minutes à pied du centre d'Aix-en-Provence, le Renaissance Aix-en-Provence Hotel propose une réception ouverte 24h/24, des journaux et une connexion Wi-Fi gratuite. Vous bénéficierez d'un accès gratuit au spa doté d'une piscine intérieure chauffée, d'un hammam, d'une salle de sport et de 2 cabines de soins. 

Offrant toutes une vue sur le jardin ou la ville, les chambres spacieuses comprennent une salle de bains privative pourvue d'une baignoire ou d'une douche.

Vous pourrez déguster un petit-déjeuner buffet, américain ou continental. Vous disposerez aussi d'un bistro et d'un bar sur place.

Vous séjournerez à 200 mètres du Grand Théâtre. Par ailleurs, vous aurez la possibilité de jouer au bowling à 1 km et au golf à 3 km ou de pratiquer l'équitation à 1,9 km. Enfin, l’aéroport Marseille-Provence est accessible à 25 minutes en voiture du Renaissance Aix-en-Provence Hotel. 







L'établissement Renaissance Aix-en-Provence Hotel accueille des clients Booking.com depuis le 12 juil. 2013.





En voir plus","
256 Avenue Pérouse, 13100 Aix-en-Provence, France
"
Collioure,Hotel Centre Plage,https://www.booking.com/hotel/fr/centre-plage.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-23&checkout=2023-07-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=0d86691c041a00d4&srepoch=1690124219&all_sr_blocks=7941204_93707451_2_2_0&highlighted_blocks=7941204_93707451_2_2_0&matching_block_id=7941204_93707451_2_2_0&sr_pri_blocks=7941204_93707451_2_2_0__47810&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"7,2","Situé au cœur d'Argelès, à 50 mètres de la plage, l'hôtel Centre Plage propose des chambres avec tous les équipements nécessaires à votre séjour.

Lors de votre séjour à Argelès, vous profiterez d'un paysage et d'un climat typiquement méditerranéens, ainsi que d'un accès facile à Perpignan et à l'Espagne. Fière de son patrimoine, la ville organise de nombreuses activités culturelles.

L'établissement sert un petit-déjeuner buffet à volonté. Les produits servis sont bio et équitables.

En été, de nombreuses possibilités de loisirs sont proposées à Argelès pour plaire à tous les âges. C'est le lieu des vacances en famille. 




Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,5 pour un séjour à deux.




L'établissement Hotel Centre Plage accueille des clients Booking.com depuis le 21 oct. 2008.



En voir plus","
4 Allée Des Palmiers, 66700 Argelès-sur-Mer, France
"
Collioure,Hôtel - Villa Les Sirènes,https://www.booking.com/hotel/fr/villa-les-sirenes.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-23&checkout=2023-07-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=0d86691c041a00d4&srepoch=1690124219&all_sr_blocks=5877016_93079767_2_0_0&highlighted_blocks=5877016_93079767_2_0_0&matching_block_id=5877016_93079767_2_0_0&sr_pri_blocks=5877016_93079767_2_0_0__49370&from=searchresults#hotelTmpl,"7,7","La Villa Les Sirènes vous accueille à Argelès-sur-Mer, à seulement 150 mètres de la plage, au bord de la mer Méditerranée. Elle propose des chambres confortables, pourvues d'une salle de bains privative et d'une télévision.

La Villa Les Sirènes sert chaque jour un petit-déjeuner continental dans sa salle à manger ou sur sa grande terrasse fleurie. Vous profiterez d'une bibliothèque sur place et, sur demande, d'une connexion Wi-Fi gratuite dans les parties communes (avec code de connexion).

Vous pourrez rejoindre Collioure en 10 minutes, Perpignan en 30 minutes et la frontière espagnole en 35 minutes. Figueres se trouve à environ 53 km. 




Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,9 pour un séjour à deux.





En voir plus","
9, Avenue Du Vallespir, 66700 Argelès-sur-Mer, France
"
Uzes,Patio De Violette,https://www.booking.com/hotel/fr/patio-de-violette.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AsHWlqIGwAIB0gIkZTU5NjhmNWEtMTk1Yi00OGEyLThmNWYtYzU2ZDNmMDU5MWZm2AIF4AIB&sid=4044a316139dbb224d418fbb7843881c&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-23&checkout=2023-07-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b46d691d880302fa&srepoch=1690124220&all_sr_blocks=5435110_89376648_0_2_0&highlighted_blocks=5435110_89376648_0_2_0&matching_block_id=5435110_89376648_0_2_0&sr_pri_blocks=5435110_89376648_0_2_0__47000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,6","Situé dans la campagne du Languedoc-Roussillon, le Patio De Violette se trouve à 2 minutes de route de la ville d'Uzès. Il dispose d'une piscine extérieure avec un solarium et d'un patio fleuri au premier étage.

Toutes les chambres climatisées sont équipées d'une télévision par satellite et d'une connexion Wi-Fi gratuite. Elles sont insonorisées et comprennent un balcon surplombant le patio et une salle de bains privative pourvue d'un sèche-cheveux.

Un petit-déjeuner buffet est servi chaque matin.

Doté sur place d'un parking privé gratuit, l'établissement est installé à 8 km du célèbre pont du Gard. Le musée Haribo est accessible en 5 minutes de route et un service de navette gratuit est assuré les mercredis et samedis. 






L'établissement Patio De Violette accueille des clients Booking.com depuis le 7 avr. 2007.



En voir plus","
Chemin Trinquelaïgues, 30700 Uzès, France
"
